"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bulgaria","BGR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","5606923076.92308","5492857142.85714","5315333333.33333","4430000000","4506500000","4533052631.57895","5465235294.11765","7551769230.76923","6035294117.64706","5737777777.77778","4387227272.72727","1986693548.3871","1679226804.12371","1403276074.50895","1334446494.46494","3165607181.67066","547397534.41753","1095512816.32032","2193595848.11726","2215172226.15226","2216209393.50767","2732571126.21","3112848252.86775","4187788205.93501","5480234701.2175","7665840179.95938","9433243953.72954","12569510846.746","17967522662.5643","14452739476.7298","11259904426.2184","12031967119.778","11466978913.4862","11830894275.8199","12037919440.2934","10599269911.5044","9935069330.46579","10855945243.4587","12453138095.5256","12823426821.5901","13421197804.1231","13738712583.9028","15412591794.9822","19142353724.2865",
"Bahrain","BHR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","946934996.020164","1011968085.10638","1201861436.17021","1532181117.02128","1720744946.80851","1232978723.40426","984308510.638298","764095744.680851","715691489.361702","765425531.914894","800531914.893617","913563829.787234","1027127659.57447","1207978723.40426","1110372340.42553","1013563829.78723","755585106.382979","760372340.425532","867553191.489362","898936170.212766","1485265957.44681","1523590425.53191","2217234042.55319","2610585106.38298","2960611702.12766","4101808510.6383","5458803191.48936","7290691489.3617","8876090425.53192","5794175531.91489","7135851063.82979","6062101063.82979","6285771276.59575","7136515957.44681","8547393617.02128","7733164893.61702","8549042553.19149","10394840425.5319","11573377659.5745","11141223404.2553","10423563829.7872","10145452127.6596","12473643617.0213","12709042553.1915",
"Bahamas, The","BHS","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","81300000","85900000","135300000","212900000","238900000","298700000","310700000","326500000","407800000","425200000","508100000","","877900000","811370000","790590000","812400000","659620000","787950000","872290000","999170000","1780500000","2129300000","2126600000","2261100000","2112900000","2033600000","2043900000","1993600000","2571600000","3288500000","3119700000","2977400000","2672600000","2694900000","2856600000","3249300000","2965600000","3371300000","2792100000","2944100000","3275100000","3152000000","3260500000","2292100000","2632200000","2707200000","2789800000",
"Bosnia and Herzegovina","BIH","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229000000","948237971.823498","1256401062.01876","1340696369.99707","1119863546.85572","1699723768.87783","1648132783.69005","1905153957.56844","2307826215.91615","2670507892.22916","3216867952.50527","2924278481.04513","4229383493.24669","5498759582.86274","4175621195.10672","3565784362.85331","4097429948.88897","3766886303.46667","3821914787.74326","4248766050.56815","3424401244.80293","3503845681.81574","3968100265.47913","4592600476.16605","4652968829.23909","4472314018.29968","5079189359.49676","5421751215.2253","6366660347.12523",
"Belarus","BLR","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3815261044.17671","4089979550.10225","4234947523.47634","5518654373.61621","4966235806.40911","3450960316.25823","3110615384.61538","3565292758.08937","3947604595.70778","3195631768.95307","3209865852.29808","2800719424.46043","3208651419.38222","4233231120.23283","5858831807.28246","8010697272.7526","10963181258.6265","14205854394.9899","20232727953.5667","18079017561.4472","22221479867.4505","23275700906.3991","21949669541.4363","28086317081.548","26185189894.465","16176702358.8486","12140857062.5811","14315271313.2561","15744441521.6273","17412896079.5647","15567055737.1673","15726313923.6019","14347587677.5446","15702163033.9003",
"Belize","BLZ","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","42642151","46212387.5","39060792.5","34563059","41459809.5","35176232.5","38451488","57436169.5","78124970.5","96112036","121500000","145500000","161000000","189000000","142000000","160500000","155000000","155500000","154500000","214500000","284000000","261000000","251000000","223000000","222500000","245500000","268500000","302500000","384500000","280500000","238000000","254000000","247500000","294500000","352000000","358000000","404000000","349000000","380000000","400500000","353000000","486500000","589500000","631660500",
"Bermuda","BMU","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865343000","794297000","702521000","704322000","775746000","791397000","883410000","983043000","968986000","1094851000","842869000","940628000","945178000","960800000",
"Bolivia","BOL","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","149333333.333333","162583333.333333","201769230.769231","225950000","327500000","452750000","534250000","620700000","819450000","871000000","752960000","934600000","839328125","678357758.62069","936308992.346939","777747605.271471","529828343.283256","525473379.078765","583952252.576543","565507342.432225","611294834.286795","773919401.397751","920829366.978788","955652305.007898","888299945.655432","1043101470.68688","1196557766.38687","1503429161.64376","1967443290.38882","1582225490.70884","1502164633.15039","1133850599.30373","1237180516.03905","1023548840.23289","1025363923.89113","1240511937.54772","1637233582.18447","2117532123.88608","2876098752.73561","2857502535.61254","3256400424.87409","4544764105.67046","4973493024.60203","5843695079.59479","6923276537.1246","7052492037.40278","7015795125.41811","7977471296.89077","8124443033.36206","7759993817.30317","5704050074.59101","6719662106.8115","7411898808.47643","7882937594.73175",
"Brazil","BRA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","7971917261.70508","9729130523.00776","11880838993.8565","17026417445.9026","23985056668.301","30141749198.4928","34337500831.3634","37641541979.4465","44592290846.3593","51706247744.726","53826080660.5669","60453985735.769","60381604384.6568","36859357044.4999","35296622617.3514","37785143717.0966","51195731724.2511","65594532325.1881","74949694220.4051","111106040869.514","96083418446.8315","62029545454.5455","60463645673.3231","71018180630.6659","109004101196.96","156069192419.472","158525047059.994","168894644487.158","160152259036.274","102036851140.588","119976443173.613","103138270248.277","91387179470.4973","92693368979.4393","115922489991.005","152078703535.588","190625845953.275","251421388628.382","328747096714.032","318428960182.612","453577622444.403","539162699833.635","510714163042.883","517114089307.074","488090279827.213","321439091840.342","278769334001.277","300426867329.555","289397822829.501","289819598014.537","244458436865.141","299344079147.991","347450316094.013","359497143729.552",
"Barbados","BRB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
